'14190320','0V1    ','20143','20143',78,'OO'
'14190320','0V2    ','20143','20143',100,'OO'
'14190320','0V3    ','20143','20143',84,'OO'
'14190320','0V4    ','20143','20143',70,'OC'
'14190320',0V5    ','20143','20143',95,'OO'
'14190320','0V6    ','20143','20143',85,'OO'
'14190320','0V7    ','20151','20151',70,'OC'
'14190320',0V8    ','20151','20151',100,'OO'
'14190320','0V9    ','20151','20151',85,'OO'
'14190320','1V0    ','20151','20151',80,'OO'
'14190320','1V1    ','20151','20151',90,'OO'
'14190320','1V2    ','20151','20151',95,'OO'
'14190320','1V3    ','20153','20153',71,'OO'
'14190320','1V4    ','20153','20153',100,'OO'
'14190320','1V5    ','20153','20153',82,'OO'
'14190320','1V6    ','20153','20153',78,'OO'
'14190320','1V7    ','20153','20153',81,'OO'
'14190320','1V8    ','20153','20153',77,'OC'
'14190320',1V9    ',,'20161',93,'OO'
'14190320','2V0    ','20161','20161',NA,'OC'
'14190320','2V1    ','20161','20161',100,'OO'
'14190320','2V2    ','20161','20161',100,'OO'
'14190320','2V3    ','20161','20161',100,'OO'
'14190320','2V4    ','20161','20161',83,'OC'
'14190320','2V0    ','20163','20163',85,'RP'
'14190320',2V5    ','20163','20163',82,'OO'
'14190320','2V6    ','20163','20163',90,'OO'
'14190320','2V7    ','20163','20163',100,'OO'
'14190320','2V8    ','20163','20163',83,'OO'
'14190320','2V9    ','20163','20163',90,'OO'
'14190320','3V0    ','20163','20163',100,'OO'
'14190320','3V1    ','20171','20171',75,'OO'
'14190320','3V2    ','20171','20171',90,'OO'
'14190320','3V3    ','20171','20171',89,'OO'
'14190320','3V4    ','20171','20171',88,'OC'
'14190320','3V5    ','20171','20171',75,'OC'
'14190320','3V6    ','20171','20171',100,'OO'
'14190320','4V0    ','20171','20171',85,'OO'
'14190320','3V8    ','20173','20173',80,'OO'
'14190320','3V9    ',,'20173',85,'OO'
'14190320','4V1    ','20173','20173',80,'OO'
'14190320','4V2    ','20173','20173',80,'OO'
'14190320','4V3    ','20173','20173',85,'OO'
'14190320','4V5    ','20173','20173',NA," 'OO'"
'14190320','5V5    ','20173','20173',95,'OO'
'14190320','4V4    ','20173','20173',AC,'AC'
'14190320','4V5    ','20181','20181',73,'RO'
'14190320','4V6    ','20181','20181',90,'OO'
'14190320','4V7    ','20181','20181',83,'OO'
'14190320','5V6    ','20181','20181',100,'OO'
'14190320','5V7    ','20181','20181',80,'OO'
'14190320','5V8    ','20181','20181',100,'OO'
'14190320','5V9    ','20181','20181',90,'OO'
'14190320','5V0    ','20181','20181',100,'OO'
'14190320','5V2    ','20182','20182',78,'OC'
'14190320','5V4    ','20183','20183',100,'OO'